"Source","Target","Sig_correlations"
"Brain - Anterior cingulate cortex (BA24)","Kidney - Cortex_secretomics",3
"Brain - Anterior cingulate cortex (BA24)","Kidney - Medulla_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Liver_secretomics",9
"Brain - Anterior cingulate cortex (BA24)","Lung_secretomics",18
"Brain - Anterior cingulate cortex (BA24)","Minor Salivary Gland_secretomics",2
"Brain - Anterior cingulate cortex (BA24)","Muscle - Skeletal_secretomics",818
"Brain - Anterior cingulate cortex (BA24)","Nerve - Tibial_secretomics",190
"Brain - Anterior cingulate cortex (BA24)","Ovary_secretomics",4
"Brain - Anterior cingulate cortex (BA24)","Pancreas_secretomics",2
"Brain - Anterior cingulate cortex (BA24)","Pituitary_secretomics",304
"Brain - Anterior cingulate cortex (BA24)","Prostate_secretomics",1
"Brain - Anterior cingulate cortex (BA24)","Skin - Not Sun Exposed (Suprapubic)_secretomics",93
"Brain - Anterior cingulate cortex (BA24)","Skin - Sun Exposed (Lower leg)_secretomics",145
"Brain - Anterior cingulate cortex (BA24)","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Spleen_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Stomach_secretomics",0
"Brain - Anterior cingulate cortex (BA24)","Testis_secretomics",17
"Brain - Anterior cingulate cortex (BA24)","Thyroid_secretomics",240
"Brain - Anterior cingulate cortex (BA24)","Uterus_secretomics",1
"Brain - Anterior cingulate cortex (BA24)","Vagina_secretomics",1
"Brain - Anterior cingulate cortex (BA24)","Whole Blood_secretomics",328
"Brain - Caudate (basal ganglia)","Adipose - Subcutaneous_secretomics",288
"Brain - Caudate (basal ganglia)","Adipose - Visceral (Omentum)_secretomics",832
"Brain - Caudate (basal ganglia)","Adrenal Gland_secretomics",63
"Brain - Caudate (basal ganglia)","Artery - Aorta_secretomics",11
"Brain - Caudate (basal ganglia)","Artery - Coronary_secretomics",1
"Brain - Caudate (basal ganglia)","Artery - Tibial_secretomics",80
"Brain - Caudate (basal ganglia)","Bladder_secretomics",0
"Brain - Caudate (basal ganglia)","Brain - Amygdala_secretomics",1866
"Brain - Caudate (basal ganglia)","Brain - Anterior cingulate cortex (BA24)_secretomics",5282
"Brain - Caudate (basal ganglia)","Brain - Cerebellar Hemisphere_secretomics",2665
"Brain - Caudate (basal ganglia)","Brain - Cerebellum_secretomics",1484
"Brain - Caudate (basal ganglia)","Brain - Cortex_secretomics",3471
"Brain - Caudate (basal ganglia)","Brain - Frontal Cortex (BA9)_secretomics",5893
"Brain - Caudate (basal ganglia)","Brain - Hippocampus_secretomics",763
"Brain - Caudate (basal ganglia)","Brain - Hypothalamus_secretomics",563
"Brain - Caudate (basal ganglia)","Brain - Nucleus accumbens (basal ganglia)_secretomics",6005
"Brain - Caudate (basal ganglia)","Brain - Putamen (basal ganglia)_secretomics",12588
"Brain - Caudate (basal ganglia)","Brain - Spinal cord (cervical c-1)_secretomics",143
"Brain - Caudate (basal ganglia)","Brain - Substantia nigra_secretomics",668
"Brain - Caudate (basal ganglia)","Breast - Mammary Tissue_secretomics",20
"Brain - Caudate (basal ganglia)","Cells - Cultured fibroblasts_secretomics",8
"Brain - Caudate (basal ganglia)","Cells - EBV-transformed lymphocytes_secretomics",3
"Brain - Caudate (basal ganglia)","Cervix - Ectocervix_secretomics",0
"Brain - Caudate (basal ganglia)","Cervix - Endocervix_secretomics",0
"Brain - Caudate (basal ganglia)","Colon - Sigmoid_secretomics",11
"Brain - Caudate (basal ganglia)","Colon - Transverse_secretomics",2
"Brain - Caudate (basal ganglia)","Esophagus - Gastroesophageal Junction_secretomics",22
"Brain - Caudate (basal ganglia)","Esophagus - Mucosa_secretomics",26
"Brain - Caudate (basal ganglia)","Esophagus - Muscularis_secretomics",115
"Brain - Caudate (basal ganglia)","Fallopian Tube_secretomics",0
"Brain - Caudate (basal ganglia)","Heart - Atrial Appendage_secretomics",137
"Brain - Caudate (basal ganglia)","Heart - Left Ventricle_secretomics",190
"Brain - Caudate (basal ganglia)","Kidney - Cortex_secretomics",3
"Brain - Caudate (basal ganglia)","Kidney - Medulla_secretomics",0
"Brain - Caudate (basal ganglia)","Liver_secretomics",36
"Brain - Caudate (basal ganglia)","Lung_secretomics",50
"Brain - Caudate (basal ganglia)","Minor Salivary Gland_secretomics",6
"Brain - Caudate (basal ganglia)","Muscle - Skeletal_secretomics",2242
"Brain - Caudate (basal ganglia)","Nerve - Tibial_secretomics",233
"Brain - Caudate (basal ganglia)","Ovary_secretomics",5
"Brain - Caudate (basal ganglia)","Pancreas_secretomics",4
"Brain - Caudate (basal ganglia)","Pituitary_secretomics",428
"Brain - Caudate (basal ganglia)","Prostate_secretomics",1
"Brain - Caudate (basal ganglia)","Skin - Not Sun Exposed (Suprapubic)_secretomics",111
"Brain - Caudate (basal ganglia)","Skin - Sun Exposed (Lower leg)_secretomics",289
"Brain - Caudate (basal ganglia)","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Caudate (basal ganglia)","Spleen_secretomics",0
"Brain - Caudate (basal ganglia)","Stomach_secretomics",5
"Brain - Caudate (basal ganglia)","Testis_secretomics",7
"Brain - Caudate (basal ganglia)","Thyroid_secretomics",452
"Brain - Caudate (basal ganglia)","Uterus_secretomics",1
"Brain - Caudate (basal ganglia)","Vagina_secretomics",3
"Brain - Caudate (basal ganglia)","Whole Blood_secretomics",801
"Brain - Cerebellar Hemisphere","Adipose - Subcutaneous_secretomics",225
"Brain - Cerebellar Hemisphere","Adipose - Visceral (Omentum)_secretomics",411
"Brain - Cerebellar Hemisphere","Adrenal Gland_secretomics",2
"Brain - Cerebellar Hemisphere","Artery - Aorta_secretomics",28
"Brain - Cerebellar Hemisphere","Artery - Coronary_secretomics",1
"Brain - Cerebellar Hemisphere","Artery - Tibial_secretomics",141
"Brain - Cerebellar Hemisphere","Bladder_secretomics",0
"Brain - Cerebellar Hemisphere","Brain - Amygdala_secretomics",663
"Brain - Cerebellar Hemisphere","Brain - Anterior cingulate cortex (BA24)_secretomics",1350
"Brain - Cerebellar Hemisphere","Brain - Caudate (basal ganglia)_secretomics",2717
"Brain - Cerebellar Hemisphere","Brain - Cerebellum_secretomics",2586
"Brain - Cerebellar Hemisphere","Brain - Cortex_secretomics",716
"Brain - Cerebellar Hemisphere","Brain - Frontal Cortex (BA9)_secretomics",2090
"Brain - Cerebellar Hemisphere","Brain - Hippocampus_secretomics",690
"Brain - Cerebellar Hemisphere","Brain - Hypothalamus_secretomics",404
"Brain - Cerebellar Hemisphere","Brain - Nucleus accumbens (basal ganglia)_secretomics",1083
"Brain - Cerebellar Hemisphere","Brain - Putamen (basal ganglia)_secretomics",700
"Brain - Cerebellar Hemisphere","Brain - Spinal cord (cervical c-1)_secretomics",139
"Brain - Cerebellar Hemisphere","Brain - Substantia nigra_secretomics",279
"Brain - Cerebellar Hemisphere","Breast - Mammary Tissue_secretomics",6
"Brain - Cerebellar Hemisphere","Cells - Cultured fibroblasts_secretomics",37
"Brain - Cerebellar Hemisphere","Cells - EBV-transformed lymphocytes_secretomics",1
"Brain - Cerebellar Hemisphere","Cervix - Ectocervix_secretomics",0
"Brain - Cerebellar Hemisphere","Cervix - Endocervix_secretomics",0
"Brain - Cerebellar Hemisphere","Colon - Sigmoid_secretomics",34
"Brain - Cerebellar Hemisphere","Colon - Transverse_secretomics",15
"Brain - Cerebellar Hemisphere","Esophagus - Gastroesophageal Junction_secretomics",7
"Brain - Cerebellar Hemisphere","Esophagus - Mucosa_secretomics",14
"Brain - Cerebellar Hemisphere","Esophagus - Muscularis_secretomics",40
"Brain - Cerebellar Hemisphere","Fallopian Tube_secretomics",0
"Brain - Cerebellar Hemisphere","Heart - Atrial Appendage_secretomics",149
"Brain - Cerebellar Hemisphere","Heart - Left Ventricle_secretomics",44
"Brain - Cerebellar Hemisphere","Kidney - Cortex_secretomics",3
"Brain - Cerebellar Hemisphere","Kidney - Medulla_secretomics",0
"Brain - Cerebellar Hemisphere","Liver_secretomics",60
"Brain - Cerebellar Hemisphere","Lung_secretomics",41
"Brain - Cerebellar Hemisphere","Minor Salivary Gland_secretomics",2
"Brain - Cerebellar Hemisphere","Muscle - Skeletal_secretomics",2033
"Brain - Cerebellar Hemisphere","Nerve - Tibial_secretomics",323
"Brain - Cerebellar Hemisphere","Ovary_secretomics",1
"Brain - Cerebellar Hemisphere","Pancreas_secretomics",2
"Brain - Cerebellar Hemisphere","Pituitary_secretomics",342
"Brain - Cerebellar Hemisphere","Prostate_secretomics",5
"Brain - Cerebellar Hemisphere","Skin - Not Sun Exposed (Suprapubic)_secretomics",147
"Brain - Cerebellar Hemisphere","Skin - Sun Exposed (Lower leg)_secretomics",379
"Brain - Cerebellar Hemisphere","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Cerebellar Hemisphere","Spleen_secretomics",0
"Brain - Cerebellar Hemisphere","Stomach_secretomics",3
"Brain - Cerebellar Hemisphere","Testis_secretomics",5
"Brain - Cerebellar Hemisphere","Thyroid_secretomics",471
"Brain - Cerebellar Hemisphere","Uterus_secretomics",3
"Brain - Cerebellar Hemisphere","Vagina_secretomics",1
"Brain - Cerebellar Hemisphere","Whole Blood_secretomics",367
"Brain - Cerebellum","Adipose - Subcutaneous_secretomics",466
"Brain - Cerebellum","Adipose - Visceral (Omentum)_secretomics",405
"Brain - Cerebellum","Adrenal Gland_secretomics",11
"Brain - Cerebellum","Artery - Aorta_secretomics",94
"Brain - Cerebellum","Artery - Coronary_secretomics",4
"Brain - Cerebellum","Artery - Tibial_secretomics",310
"Brain - Cerebellum","Bladder_secretomics",0
"Brain - Cerebellum","Brain - Amygdala_secretomics",158
"Brain - Cerebellum","Brain - Anterior cingulate cortex (BA24)_secretomics",854
"Brain - Cerebellum","Brain - Caudate (basal ganglia)_secretomics",1112
"Brain - Cerebellum","Brain - Cerebellar Hemisphere_secretomics",2262
"Brain - Cerebellum","Brain - Cortex_secretomics",4836
"Brain - Cerebellum","Brain - Frontal Cortex (BA9)_secretomics",934
"Brain - Cerebellum","Brain - Hippocampus_secretomics",197
"Brain - Cerebellum","Brain - Hypothalamus_secretomics",184
"Brain - Cerebellum","Brain - Nucleus accumbens (basal ganglia)_secretomics",800
"Brain - Cerebellum","Brain - Putamen (basal ganglia)_secretomics",560
"Brain - Cerebellum","Brain - Spinal cord (cervical c-1)_secretomics",117
"Brain - Cerebellum","Brain - Substantia nigra_secretomics",47
"Brain - Cerebellum","Breast - Mammary Tissue_secretomics",28
"Brain - Cerebellum","Cells - Cultured fibroblasts_secretomics",6
"Brain - Cerebellum","Cells - EBV-transformed lymphocytes_secretomics",6
"Brain - Cerebellum","Cervix - Ectocervix_secretomics",0
"Brain - Cerebellum","Cervix - Endocervix_secretomics",0
"Brain - Cerebellum","Colon - Sigmoid_secretomics",89
"Brain - Cerebellum","Colon - Transverse_secretomics",6
"Brain - Cerebellum","Esophagus - Gastroesophageal Junction_secretomics",22
"Brain - Cerebellum","Esophagus - Mucosa_secretomics",26
"Brain - Cerebellum","Esophagus - Muscularis_secretomics",113
"Brain - Cerebellum","Fallopian Tube_secretomics",0
"Brain - Cerebellum","Heart - Atrial Appendage_secretomics",396
"Brain - Cerebellum","Heart - Left Ventricle_secretomics",217
"Brain - Cerebellum","Kidney - Cortex_secretomics",7
"Brain - Cerebellum","Kidney - Medulla_secretomics",0
"Brain - Cerebellum","Liver_secretomics",121
"Brain - Cerebellum","Lung_secretomics",104
"Brain - Cerebellum","Minor Salivary Gland_secretomics",0
"Brain - Cerebellum","Muscle - Skeletal_secretomics",2654
"Brain - Cerebellum","Nerve - Tibial_secretomics",575
"Brain - Cerebellum","Ovary_secretomics",5
"Brain - Cerebellum","Pancreas_secretomics",5
"Brain - Cerebellum","Pituitary_secretomics",1240
"Brain - Cerebellum","Prostate_secretomics",47
"Brain - Cerebellum","Skin - Not Sun Exposed (Suprapubic)_secretomics",278
"Brain - Cerebellum","Skin - Sun Exposed (Lower leg)_secretomics",516
"Brain - Cerebellum","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Cerebellum","Spleen_secretomics",1
"Brain - Cerebellum","Stomach_secretomics",8
"Brain - Cerebellum","Testis_secretomics",19
"Brain - Cerebellum","Thyroid_secretomics",1219
"Brain - Cerebellum","Uterus_secretomics",2
"Brain - Cerebellum","Vagina_secretomics",3
"Brain - Cerebellum","Whole Blood_secretomics",328
"Brain - Cortex","Adipose - Subcutaneous_secretomics",1205
"Brain - Cortex","Adipose - Visceral (Omentum)_secretomics",1301
"Brain - Cortex","Adrenal Gland_secretomics",21
"Brain - Cortex","Artery - Aorta_secretomics",125
"Brain - Cortex","Artery - Coronary_secretomics",1
"Brain - Cortex","Artery - Tibial_secretomics",496
"Brain - Cortex","Bladder_secretomics",0
"Brain - Cortex","Brain - Amygdala_secretomics",129
"Brain - Cortex","Brain - Anterior cingulate cortex (BA24)_secretomics",1482
"Brain - Cortex","Brain - Caudate (basal ganglia)_secretomics",2859
"Brain - Cortex","Brain - Cerebellar Hemisphere_secretomics",670
"Brain - Cortex","Brain - Cerebellum_secretomics",4438
"Brain - Cortex","Brain - Frontal Cortex (BA9)_secretomics",4644
"Brain - Cortex","Brain - Hippocampus_secretomics",138
"Brain - Cortex","Brain - Hypothalamus_secretomics",176
"Brain - Cortex","Brain - Nucleus accumbens (basal ganglia)_secretomics",1235
"Brain - Cortex","Brain - Putamen (basal ganglia)_secretomics",877
"Brain - Cortex","Brain - Spinal cord (cervical c-1)_secretomics",79
"Brain - Cortex","Brain - Substantia nigra_secretomics",32
"Brain - Cortex","Breast - Mammary Tissue_secretomics",81
"Brain - Cortex","Cells - Cultured fibroblasts_secretomics",21
"Brain - Cortex","Cells - EBV-transformed lymphocytes_secretomics",1
"Brain - Cortex","Cervix - Ectocervix_secretomics",0
"Brain - Cortex","Cervix - Endocervix_secretomics",0
"Brain - Cortex","Colon - Sigmoid_secretomics",54
"Brain - Cortex","Colon - Transverse_secretomics",23
"Brain - Cortex","Esophagus - Gastroesophageal Junction_secretomics",87
"Brain - Cortex","Esophagus - Mucosa_secretomics",21
"Brain - Cortex","Esophagus - Muscularis_secretomics",909
"Brain - Cortex","Fallopian Tube_secretomics",0
"Brain - Cortex","Heart - Atrial Appendage_secretomics",721
"Brain - Cortex","Heart - Left Ventricle_secretomics",356
"Brain - Cortex","Kidney - Cortex_secretomics",17
"Brain - Cortex","Kidney - Medulla_secretomics",0
"Brain - Cortex","Liver_secretomics",153
"Brain - Cortex","Lung_secretomics",232
"Brain - Cortex","Minor Salivary Gland_secretomics",6
"Brain - Cortex","Muscle - Skeletal_secretomics",5950
"Brain - Cortex","Nerve - Tibial_secretomics",971
"Brain - Cortex","Ovary_secretomics",15
"Brain - Cortex","Pancreas_secretomics",2
"Brain - Cortex","Pituitary_secretomics",1467
"Brain - Cortex","Prostate_secretomics",54
"Brain - Cortex","Skin - Not Sun Exposed (Suprapubic)_secretomics",615
"Brain - Cortex","Skin - Sun Exposed (Lower leg)_secretomics",1132
"Brain - Cortex","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Cortex","Spleen_secretomics",2
"Brain - Cortex","Stomach_secretomics",5
"Brain - Cortex","Testis_secretomics",114
"Brain - Cortex","Thyroid_secretomics",1720
"Brain - Cortex","Uterus_secretomics",1
"Brain - Cortex","Vagina_secretomics",3
"Brain - Cortex","Whole Blood_secretomics",666
"Brain - Frontal Cortex (BA9)","Adipose - Subcutaneous_secretomics",202
"Brain - Frontal Cortex (BA9)","Adipose - Visceral (Omentum)_secretomics",209
"Brain - Frontal Cortex (BA9)","Adrenal Gland_secretomics",8
"Brain - Frontal Cortex (BA9)","Artery - Aorta_secretomics",72
"Brain - Frontal Cortex (BA9)","Artery - Coronary_secretomics",7
"Brain - Frontal Cortex (BA9)","Artery - Tibial_secretomics",61
"Brain - Frontal Cortex (BA9)","Bladder_secretomics",0
"Brain - Frontal Cortex (BA9)","Brain - Amygdala_secretomics",1208
"Brain - Frontal Cortex (BA9)","Brain - Anterior cingulate cortex (BA24)_secretomics",5200
"Brain - Frontal Cortex (BA9)","Brain - Caudate (basal ganglia)_secretomics",6859
"Brain - Frontal Cortex (BA9)","Brain - Cerebellar Hemisphere_secretomics",1940
"Brain - Frontal Cortex (BA9)","Brain - Cerebellum_secretomics",1123
"Brain - Frontal Cortex (BA9)","Brain - Cortex_secretomics",6770
"Brain - Frontal Cortex (BA9)","Brain - Hippocampus_secretomics",1318
"Brain - Frontal Cortex (BA9)","Brain - Hypothalamus_secretomics",1963
"Brain - Frontal Cortex (BA9)","Brain - Nucleus accumbens (basal ganglia)_secretomics",7024
"Brain - Frontal Cortex (BA9)","Brain - Putamen (basal ganglia)_secretomics",1540
"Brain - Frontal Cortex (BA9)","Brain - Spinal cord (cervical c-1)_secretomics",108
"Brain - Frontal Cortex (BA9)","Brain - Substantia nigra_secretomics",315
"Brain - Frontal Cortex (BA9)","Breast - Mammary Tissue_secretomics",21
"Brain - Frontal Cortex (BA9)","Cells - Cultured fibroblasts_secretomics",11
"Brain - Frontal Cortex (BA9)","Cells - EBV-transformed lymphocytes_secretomics",13
"Brain - Frontal Cortex (BA9)","Cervix - Ectocervix_secretomics",0
"Brain - Frontal Cortex (BA9)","Cervix - Endocervix_secretomics",0
"Brain - Frontal Cortex (BA9)","Colon - Sigmoid_secretomics",24
"Brain - Frontal Cortex (BA9)","Colon - Transverse_secretomics",2
"Brain - Frontal Cortex (BA9)","Esophagus - Gastroesophageal Junction_secretomics",11
"Brain - Frontal Cortex (BA9)","Esophagus - Mucosa_secretomics",15
"Brain - Frontal Cortex (BA9)","Esophagus - Muscularis_secretomics",228
"Brain - Frontal Cortex (BA9)","Fallopian Tube_secretomics",0
"Brain - Frontal Cortex (BA9)","Heart - Atrial Appendage_secretomics",178
"Brain - Frontal Cortex (BA9)","Heart - Left Ventricle_secretomics",63
"Brain - Frontal Cortex (BA9)","Kidney - Cortex_secretomics",3
"Brain - Frontal Cortex (BA9)","Kidney - Medulla_secretomics",0
"Brain - Frontal Cortex (BA9)","Liver_secretomics",23
"Brain - Frontal Cortex (BA9)","Lung_secretomics",76
"Brain - Frontal Cortex (BA9)","Minor Salivary Gland_secretomics",2
"Brain - Frontal Cortex (BA9)","Muscle - Skeletal_secretomics",2567
"Brain - Frontal Cortex (BA9)","Nerve - Tibial_secretomics",286
"Brain - Frontal Cortex (BA9)","Ovary_secretomics",22
"Brain - Frontal Cortex (BA9)","Pancreas_secretomics",4
"Brain - Frontal Cortex (BA9)","Pituitary_secretomics",332
"Brain - Frontal Cortex (BA9)","Prostate_secretomics",10
"Brain - Frontal Cortex (BA9)","Skin - Not Sun Exposed (Suprapubic)_secretomics",168
"Brain - Frontal Cortex (BA9)","Skin - Sun Exposed (Lower leg)_secretomics",454
"Brain - Frontal Cortex (BA9)","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Frontal Cortex (BA9)","Spleen_secretomics",0
"Brain - Frontal Cortex (BA9)","Stomach_secretomics",3
"Brain - Frontal Cortex (BA9)","Testis_secretomics",12
"Brain - Frontal Cortex (BA9)","Thyroid_secretomics",660
"Brain - Frontal Cortex (BA9)","Uterus_secretomics",2
"Brain - Frontal Cortex (BA9)","Vagina_secretomics",3
"Brain - Frontal Cortex (BA9)","Whole Blood_secretomics",473
"Brain - Hippocampus","Adipose - Subcutaneous_secretomics",146
"Brain - Hippocampus","Adipose - Visceral (Omentum)_secretomics",236
"Brain - Hippocampus","Adrenal Gland_secretomics",3
"Brain - Hippocampus","Artery - Aorta_secretomics",4
"Brain - Hippocampus","Artery - Coronary_secretomics",11
"Brain - Hippocampus","Artery - Tibial_secretomics",102
"Brain - Hippocampus","Bladder_secretomics",0
"Brain - Hippocampus","Brain - Amygdala_secretomics",908
"Brain - Hippocampus","Brain - Anterior cingulate cortex (BA24)_secretomics",807
"Brain - Hippocampus","Brain - Caudate (basal ganglia)_secretomics",1192
"Brain - Hippocampus","Brain - Cerebellar Hemisphere_secretomics",893
"Brain - Hippocampus","Brain - Cerebellum_secretomics",285
"Brain - Hippocampus","Brain - Cortex_secretomics",510
"Brain - Hippocampus","Brain - Frontal Cortex (BA9)_secretomics",1815
"Brain - Hippocampus","Brain - Hypothalamus_secretomics",734
"Brain - Hippocampus","Brain - Nucleus accumbens (basal ganglia)_secretomics",908
"Brain - Hippocampus","Brain - Putamen (basal ganglia)_secretomics",672
"Brain - Hippocampus","Brain - Spinal cord (cervical c-1)_secretomics",62
"Brain - Hippocampus","Brain - Substantia nigra_secretomics",287
"Brain - Hippocampus","Breast - Mammary Tissue_secretomics",22
"Brain - Hippocampus","Cells - Cultured fibroblasts_secretomics",5
"Brain - Hippocampus","Cells - EBV-transformed lymphocytes_secretomics",23
"Brain - Hippocampus","Cervix - Ectocervix_secretomics",0
"Brain - Hippocampus","Cervix - Endocervix_secretomics",0
"Brain - Hippocampus","Colon - Sigmoid_secretomics",2
"Brain - Hippocampus","Colon - Transverse_secretomics",4
"Brain - Hippocampus","Esophagus - Gastroesophageal Junction_secretomics",6
"Brain - Hippocampus","Esophagus - Mucosa_secretomics",9
"Brain - Hippocampus","Esophagus - Muscularis_secretomics",33
"Brain - Hippocampus","Fallopian Tube_secretomics",0
"Brain - Hippocampus","Heart - Atrial Appendage_secretomics",98
"Brain - Hippocampus","Heart - Left Ventricle_secretomics",52
"Brain - Hippocampus","Kidney - Cortex_secretomics",1
"Brain - Hippocampus","Kidney - Medulla_secretomics",0
"Brain - Hippocampus","Liver_secretomics",25
"Brain - Hippocampus","Lung_secretomics",25
"Brain - Hippocampus","Minor Salivary Gland_secretomics",2
"Brain - Hippocampus","Muscle - Skeletal_secretomics",791
"Brain - Hippocampus","Nerve - Tibial_secretomics",130
"Brain - Hippocampus","Ovary_secretomics",19
"Brain - Hippocampus","Pancreas_secretomics",1
"Brain - Hippocampus","Pituitary_secretomics",316
"Brain - Hippocampus","Prostate_secretomics",10
"Brain - Hippocampus","Skin - Not Sun Exposed (Suprapubic)_secretomics",90
"Brain - Hippocampus","Skin - Sun Exposed (Lower leg)_secretomics",115
"Brain - Hippocampus","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Hippocampus","Spleen_secretomics",0
"Brain - Hippocampus","Stomach_secretomics",5
"Brain - Hippocampus","Testis_secretomics",11
"Brain - Hippocampus","Thyroid_secretomics",239
"Brain - Hippocampus","Uterus_secretomics",13
"Brain - Hippocampus","Vagina_secretomics",2
"Brain - Hippocampus","Whole Blood_secretomics",262
"Brain - Hypothalamus","Adipose - Subcutaneous_secretomics",129
"Brain - Hypothalamus","Adipose - Visceral (Omentum)_secretomics",194
"Brain - Hypothalamus","Adrenal Gland_secretomics",5
"Brain - Hypothalamus","Artery - Aorta_secretomics",10
"Brain - Hypothalamus","Artery - Coronary_secretomics",10
"Brain - Hypothalamus","Artery - Tibial_secretomics",29
"Brain - Hypothalamus","Bladder_secretomics",0
"Brain - Hypothalamus","Brain - Amygdala_secretomics",653
"Brain - Hypothalamus","Brain - Anterior cingulate cortex (BA24)_secretomics",503
"Brain - Hypothalamus","Brain - Caudate (basal ganglia)_secretomics",842
"Brain - Hypothalamus","Brain - Cerebellar Hemisphere_secretomics",442
"Brain - Hypothalamus","Brain - Cerebellum_secretomics",229
"Brain - Hypothalamus","Brain - Cortex_secretomics",231
"Brain - Hypothalamus","Brain - Frontal Cortex (BA9)_secretomics",2729
"Brain - Hypothalamus","Brain - Hippocampus_secretomics",907
"Brain - Hypothalamus","Brain - Nucleus accumbens (basal ganglia)_secretomics",2260
"Brain - Hypothalamus","Brain - Putamen (basal ganglia)_secretomics",546
"Brain - Hypothalamus","Brain - Spinal cord (cervical c-1)_secretomics",75
"Brain - Hypothalamus","Brain - Substantia nigra_secretomics",166
"Brain - Hypothalamus","Breast - Mammary Tissue_secretomics",7
"Brain - Hypothalamus","Cells - Cultured fibroblasts_secretomics",4
"Brain - Hypothalamus","Cells - EBV-transformed lymphocytes_secretomics",7
"Brain - Hypothalamus","Cervix - Ectocervix_secretomics",0
"Brain - Hypothalamus","Cervix - Endocervix_secretomics",0
"Brain - Hypothalamus","Colon - Sigmoid_secretomics",4
"Brain - Hypothalamus","Colon - Transverse_secretomics",0
"Brain - Hypothalamus","Esophagus - Gastroesophageal Junction_secretomics",7
"Brain - Hypothalamus","Esophagus - Mucosa_secretomics",15
"Brain - Hypothalamus","Esophagus - Muscularis_secretomics",68
"Brain - Hypothalamus","Fallopian Tube_secretomics",0
"Brain - Hypothalamus","Heart - Atrial Appendage_secretomics",62
"Brain - Hypothalamus","Heart - Left Ventricle_secretomics",6
"Brain - Hypothalamus","Kidney - Cortex_secretomics",1
"Brain - Hypothalamus","Kidney - Medulla_secretomics",0
"Brain - Hypothalamus","Liver_secretomics",13
"Brain - Hypothalamus","Lung_secretomics",11
"Brain - Hypothalamus","Minor Salivary Gland_secretomics",2
"Brain - Hypothalamus","Muscle - Skeletal_secretomics",1238
"Brain - Hypothalamus","Nerve - Tibial_secretomics",202
"Brain - Hypothalamus","Ovary_secretomics",16
"Brain - Hypothalamus","Pancreas_secretomics",6
"Brain - Hypothalamus","Pituitary_secretomics",137
"Brain - Hypothalamus","Prostate_secretomics",8
"Brain - Hypothalamus","Skin - Not Sun Exposed (Suprapubic)_secretomics",36
"Brain - Hypothalamus","Skin - Sun Exposed (Lower leg)_secretomics",85
"Brain - Hypothalamus","Small Intestine - Terminal Ileum_secretomics",0
"Brain - Hypothalamus","Spleen_secretomics",0
"Brain - Hypothalamus","Stomach_secretomics",3
"Brain - Hypothalamus","Testis_secretomics",10
"Brain - Hypothalamus","Thyroid_secretomics",438
"Brain - Hypothalamus","Uterus_secretomics",2
"Brain - Hypothalamus","Vagina_secretomics",3
"Brain - Hypothalamus","Whole Blood_secretomics",76
"Brain - Nucleus accumbens (basal ganglia)","Adipose - Subcutaneous_secretomics",363
"Brain - Nucleus accumbens (basal ganglia)","Adipose - Visceral (Omentum)_secretomics",531
"Brain - Nucleus accumbens (basal ganglia)","Adrenal Gland_secretomics",1
"Brain - Nucleus accumbens (basal ganglia)","Artery - Aorta_secretomics",28
"Brain - Nucleus accumbens (basal ganglia)","Artery - Coronary_secretomics",3
"Brain - Nucleus accumbens (basal ganglia)","Artery - Tibial_secretomics",50
"Brain - Nucleus accumbens (basal ganglia)","Bladder_secretomics",0
"Brain - Nucleus accumbens (basal ganglia)","Brain - Amygdala_secretomics",1275
"Brain - Nucleus accumbens (basal ganglia)","Brain - Anterior cingulate cortex (BA24)_secretomics",1494
"Brain - Nucleus accumbens (basal ganglia)","Brain - Caudate (basal ganglia)_secretomics",6086
"Brain - Nucleus accumbens (basal ganglia)","Brain - Cerebellar Hemisphere_secretomics",1291
"Brain - Nucleus accumbens (basal ganglia)","Brain - Cerebellum_secretomics",1124
"Brain - Nucleus accumbens (basal ganglia)","Brain - Cortex_secretomics",1812
"Brain - Nucleus accumbens (basal ganglia)","Brain - Frontal Cortex (BA9)_secretomics",7339
"Brain - Nucleus accumbens (basal ganglia)","Brain - Hippocampus_secretomics",798
"Brain - Nucleus accumbens (basal ganglia)","Brain - Hypothalamus_secretomics",2029
"Brain - Nucleus accumbens (basal ganglia)","Brain - Putamen (basal ganglia)_secretomics",6093
"Brain - Nucleus accumbens (basal ganglia)","Brain - Spinal cord (cervical c-1)_secretomics",191
"Brain - Nucleus accumbens (basal ganglia)","Brain - Substantia nigra_secretomics",1101
"Brain - Nucleus accumbens (basal ganglia)","Breast - Mammary Tissue_secretomics",20
"Brain - Nucleus accumbens (basal ganglia)","Cells - Cultured fibroblasts_secretomics",6
"Brain - Nucleus accumbens (basal ganglia)","Cells - EBV-transformed lymphocytes_secretomics",7
